BuoyID,Year,Hour,Min,DOY,POS_DOY,Lat,Lon,Ts
145846,2017,08,00,70.333,70.341,68.86681,12.96639,7.30
145846,2017,09,00,70.375,70.381,68.86748,13.02757,7.29
145846,2017,10,00,70.417,70.408,68.87180,13.05324,7.29
145846,2017,12,00,70.500,70.499,68.87797,13.15390,7.29
145846,2017,13,00,70.542,70.543,68.88933,13.19029,7.31
145846,2017,14,00,70.583,70.587,68.89439,13.21199,7.32
145846,2017,15,00,70.625,70.612,68.89943,13.23299,7.28
145846,2017,16,00,70.667,70.668,68.90734,13.29761,7.18
145846,2017,17,00,70.708,70.703,68.92401,13.30168,6.66
145846,2017,18,00,70.750,70.753,68.94130,13.34495,6.40
145846,2017,19,00,70.792,70.791,68.96417,13.35852,6.63
145846,2017,21,00,70.875,70.877,68.98307,13.43465,6.63
145846,2017,22,00,70.917,70.877,68.98307,13.43465,6.65
145846,2017,23,00,70.958,70.926,68.99969,13.48879,6.72
145846,2017,00,00,71.000,70.994,69.01792,13.54114,6.77
145846,2017,01,00,71.042,71.064,69.02462,13.57305,6.79
145846,2017,02,00,71.083,71.078,69.02874,13.58608,6.76
145846,2017,03,00,71.125,71.078,69.02874,13.58608,6.74
145846,2017,04,00,71.167,71.149,69.05130,13.59926,6.69
145846,2017,05,00,71.208,71.201,69.06169,13.61744,6.67
145846,2017,06,00,71.250,71.255,69.08102,13.61922,6.56
145846,2017,07,00,71.292,71.291,69.08657,13.62390,6.68
145846,2017,08,00,71.333,71.324,69.09358,13.64211,6.70
145846,2017,09,00,71.375,71.376,69.10890,13.67933,6.73
145846,2017,10,00,71.417,71.415,69.11369,13.66828,6.74
145846,2017,11,00,71.458,71.461,69.12630,13.67893,6.78
145846,2017,12,00,71.500,71.497,69.13301,13.68333,6.80
145846,2017,14,00,71.583,71.580,69.14738,13.70703,6.78
145846,2017,15,00,71.625,71.621,69.15511,13.68522,6.76
145846,2017,16,00,71.667,71.665,69.16810,13.70001,6.76
145846,2017,17,00,71.708,71.698,69.18188,13.72980,6.70
145846,2017,18,00,71.750,71.737,69.18895,13.72750,6.59
145846,2017,19,00,71.792,71.790,69.20484,13.74206,6.48
145846,2017,20,00,71.833,71.828,69.21288,13.76056,6.47
145846,2017,21,00,71.875,71.862,69.21809,13.74970,6.44
145846,2017,22,00,71.917,71.906,69.22486,13.78803,6.49
145846,2017,23,00,71.958,71.975,69.24471,13.83273,6.54
145846,2017,00,00,72.000,71.975,69.24454,13.83329,6.55
145846,2017,01,00,72.042,72.043,69.25815,13.89829,6.59
145846,2017,02,00,72.083,72.074,69.25727,13.89485,6.62
145846,2017,03,00,72.125,72.109,69.26327,13.93040,6.65
145846,2017,04,00,72.167,72.142,69.26636,13.94863,6.75
145846,2017,05,00,72.208,72.213,69.27936,13.98314,6.82
145846,2017,06,00,72.250,72.250,69.28043,13.99981,6.83
145846,2017,07,00,72.292,72.294,69.29185,14.05850,6.86
145846,2017,09,00,72.375,72.367,69.29421,14.15421,6.95
145846,2017,10,00,72.417,72.421,69.29592,14.20949,6.96
145846,2017,11,00,72.458,72.443,69.30368,14.24239,7.01
145846,2017,12,00,72.500,72.501,69.30613,14.32979,6.99
145846,2017,13,00,72.542,72.538,69.29900,14.38647,7.00
145846,2017,14,00,72.583,72.578,69.29485,14.43658,7.00
145846,2017,15,00,72.625,72.607,69.29413,14.48633,6.98
145846,2017,16,00,72.667,72.646,69.29554,14.53248,6.97
145846,2017,17,00,72.708,72.708,69.29434,14.64186,6.97
145846,2017,18,00,72.750,72.746,69.30432,14.67095,6.96
145846,2017,19,00,72.792,72.781,69.30895,14.73375,6.89
145846,2017,20,00,72.833,72.847,69.33105,14.83018,6.95
145846,2017,21,00,72.875,72.884,69.34919,14.89423,6.95
145846,2017,22,00,72.917,72.919,69.35376,14.94985,6.96
145846,2017,23,00,72.958,72.953,69.37556,15.02269,6.98
145846,2017,00,00,73.000,73.022,69.40073,15.11393,6.98
145846,2017,01,00,73.042,73.022,69.40069,15.11423,6.93
145846,2017,02,00,73.083,73.090,69.43618,15.25129,6.95
145846,2017,03,00,73.125,73.133,69.44393,15.31750,6.97
145846,2017,04,00,73.167,73.157,69.44992,15.32571,7.00
145846,2017,05,00,73.208,73.204,69.46146,15.41534,7.15
145846,2017,06,00,73.250,73.227,69.45920,15.45039,7.18
145846,2017,07,00,73.292,73.287,69.48280,15.52162,7.20
145846,2017,08,00,73.333,73.344,69.48842,15.60907,7.21
145846,2017,09,00,73.375,73.356,69.50445,15.61428,7.20
145846,2017,10,00,73.417,73.416,69.52427,15.71805,7.16
145846,2017,11,00,73.458,73.456,69.54638,15.73961,7.14
145846,2017,13,00,73.542,73.550,69.61216,15.80382,7.06
145846,2017,14,00,73.583,73.562,69.61752,15.79883,7.05
145846,2017,15,00,73.625,73.623,69.67267,15.83883,7.04
145846,2017,16,00,73.667,73.665,69.70167,15.82313,6.94
145846,2017,17,00,73.708,73.699,69.73377,15.81648,6.59
145846,2017,18,00,73.750,73.763,69.77616,15.82922,6.57
145846,2017,19,00,73.792,73.796,69.78883,15.80780,6.57
145846,2017,20,00,73.833,73.833,69.80367,15.80454,6.59
145846,2017,21,00,73.875,73.870,69.82112,15.81196,6.64
145846,2017,22,00,73.917,73.903,69.83917,15.81133,6.64
145846,2017,23,00,73.958,73.932,69.83395,15.79238,6.67
145846,2017,00,00,74.000,73.999,69.84265,15.78478,6.69
145846,2017,01,00,74.042,74.055,69.83787,15.74945,6.68
145846,2017,02,00,74.083,74.067,69.84179,15.75601,6.67
145846,2017,03,00,74.125,74.125,69.83201,15.69173,6.66
145846,2017,04,00,74.167,74.197,69.80607,15.68049,6.67
145846,2017,05,00,74.208,74.207,69.82235,15.63797,6.66
145846,2017,06,00,74.250,74.268,69.79948,15.57679,6.66
145846,2017,07,00,74.292,74.279,69.80305,15.56488,6.67
145846,2017,08,00,74.333,74.339,69.79198,15.52010,6.68
145846,2017,09,00,74.375,74.375,69.78518,15.51445,6.67
145846,2017,10,00,74.417,74.420,69.77366,15.43777,6.70
145846,2017,11,00,74.458,74.441,69.77277,15.39295,6.75
145846,2017,12,00,74.500,74.487,69.75973,15.34475,6.63
145846,2017,13,00,74.542,74.542,69.74617,15.25488,6.55
145846,2017,14,00,74.583,74.580,69.73240,15.24835,6.52
145846,2017,15,00,74.625,74.626,69.71209,15.18725,6.50
145846,2017,16,00,74.667,74.681,69.69065,15.15447,6.49
145846,2017,17,00,74.708,74.706,69.68387,15.14146,6.48
145846,2017,18,00,74.750,74.749,69.66917,15.08817,6.46
145846,2017,19,00,74.792,74.774,69.66088,15.09182,6.46
145846,2017,20,00,74.833,74.819,69.65185,15.04827,6.45
145846,2017,21,00,74.875,74.889,69.64008,15.01601,6.51
145846,2017,22,00,74.917,74.910,69.63567,15.02547,6.52
