BuoyID,Year,Hour,Min,DOY,POS_DOY,Lat,Lon,Ts
145895,2017,08,00,70.333,70.341,68.86407,12.96630,7.31
145895,2017,09,00,70.375,70.380,68.86888,13.02018,7.31
145895,2017,10,00,70.417,70.409,68.87202,13.05308,7.31
145895,2017,11,00,70.458,70.451,68.87790,13.10560,7.30
145895,2017,12,00,70.500,70.499,68.88041,13.15044,7.32
145895,2017,13,00,70.542,70.544,68.88541,13.18266,7.33
145895,2017,14,00,70.583,70.588,68.89471,13.21893,7.32
145895,2017,15,00,70.625,70.612,68.89805,13.23539,7.33
145895,2017,16,00,70.667,70.667,68.90721,13.29921,7.19
145895,2017,17,00,70.708,70.703,68.91997,13.30969,6.56
145895,2017,18,00,70.750,70.751,68.94458,13.34383,6.46
145895,2017,19,00,70.792,70.791,68.96285,13.37917,6.60
145895,2017,21,00,70.875,70.878,68.98200,13.43545,6.78
145895,2017,22,00,70.917,70.915,68.99167,13.44458,6.76
145895,2017,23,00,70.958,70.926,69.00681,13.49452,6.76
145895,2017,00,00,71.000,70.994,69.02249,13.54861,6.76
145895,2017,01,00,71.042,71.065,69.02726,13.57477,6.74
145895,2017,02,00,71.083,71.079,69.03155,13.58157,6.70
145895,2017,03,00,71.125,71.079,69.03155,13.58157,6.74
145895,2017,04,00,71.167,71.149,69.04687,13.58949,6.70
145895,2017,05,00,71.208,71.221,69.06638,13.56503,6.67
145895,2017,06,00,71.250,71.255,69.07615,13.60781,6.61
145895,2017,07,00,71.292,71.292,69.08439,13.62137,6.70
145895,2017,08,00,71.333,71.324,69.09464,13.63742,6.76
145895,2017,09,00,71.375,71.373,69.10047,13.65674,6.80
145895,2017,10,00,71.417,71.415,69.11387,13.62179,6.82
145895,2017,11,00,71.458,71.461,69.11492,13.66039,6.83
145895,2017,12,00,71.500,71.497,69.11925,13.66760,6.84
145895,2017,13,00,71.542,71.530,69.12926,13.68469,6.84
145895,2017,14,00,71.583,71.580,69.13306,13.69093,6.84
145895,2017,15,00,71.625,71.621,69.14563,13.70620,6.82
145895,2017,16,00,71.667,71.665,69.15224,13.71123,6.81
145895,2017,17,00,71.708,71.697,69.16180,13.73398,6.83
145895,2017,18,00,71.750,71.734,69.16442,13.72920,6.81
145895,2017,19,00,71.792,71.790,69.17867,13.72262,6.77
145895,2017,20,00,71.833,71.829,69.18383,13.76320,6.71
145895,2017,21,00,71.875,71.862,69.18738,13.75242,6.70
145895,2017,22,00,71.917,71.906,69.20362,13.77363,6.68
145895,2017,23,00,71.958,71.975,69.21007,13.81142,6.72
145895,2017,00,00,72.000,71.975,69.21007,13.81142,6.76
145895,2017,01,00,72.042,72.043,69.22036,13.84943,6.58
145895,2017,02,00,72.083,72.071,69.22265,13.84574,6.58
145895,2017,03,00,72.125,72.109,69.23098,13.87369,6.64
145895,2017,04,00,72.167,72.166,69.23636,13.88270,6.71
145895,2017,05,00,72.208,72.212,69.24091,13.90452,6.74
145895,2017,06,00,72.250,72.249,69.24048,13.90568,6.69
145895,2017,07,00,72.292,72.284,69.24553,13.93658,6.71
145895,2017,08,00,72.333,72.329,69.25254,13.95873,6.68
145895,2017,09,00,72.375,72.366,69.26381,13.99502,6.72
145895,2017,10,00,72.417,72.420,69.26000,14.00796,6.73
145895,2017,11,00,72.458,72.467,69.27088,14.03745,6.74
145895,2017,12,00,72.500,72.503,69.27454,14.08852,6.74
145895,2017,13,00,72.542,72.537,69.27958,14.09451,6.78
145895,2017,14,00,72.583,72.578,69.28483,14.13235,6.74
145895,2017,15,00,72.625,72.631,69.28955,14.16007,6.76
145895,2017,16,00,72.667,72.677,69.29139,14.20482,6.76
145895,2017,17,00,72.708,72.708,69.29093,14.24118,6.76
145895,2017,18,00,72.750,72.747,69.29595,14.25584,6.78
145895,2017,19,00,72.792,72.785,69.30169,14.30547,6.83
145895,2017,20,00,72.833,72.848,69.30770,14.35427,6.93
145895,2017,21,00,72.875,72.884,69.30236,14.42024,7.02
145895,2017,22,00,72.917,72.919,69.31437,14.44247,7.06
145895,2017,23,00,72.958,72.954,69.32809,14.52355,7.10
145895,2017,00,00,73.000,73.022,69.32817,14.61907,7.11
145895,2017,01,00,73.042,73.022,69.32806,14.61906,7.11
145895,2017,02,00,73.083,73.091,69.34209,14.71975,7.13
145895,2017,03,00,73.125,73.091,69.34223,14.71990,7.13
145895,2017,04,00,73.167,73.158,69.35947,14.82122,7.14
145895,2017,05,00,73.208,73.204,69.37899,14.90775,7.15
145895,2017,06,00,73.250,73.227,69.38053,14.94993,7.14
145895,2017,07,00,73.292,73.287,69.39875,15.09049,7.14
145895,2017,08,00,73.333,73.346,69.41445,15.20613,7.14
145895,2017,09,00,73.375,73.383,69.42418,15.21421,7.13
145895,2017,10,00,73.417,73.416,69.44605,15.36905,7.07
145895,2017,11,00,73.458,73.455,69.46513,15.42672,7.05
145895,2017,12,00,73.500,73.495,69.48903,15.48393,7.00
145895,2017,13,00,73.542,73.523,69.50143,15.51843,7.02
145895,2017,14,00,73.583,73.592,69.53000,15.55829,7.02
145895,2017,15,00,73.625,73.592,69.53064,15.56093,7.02
145895,2017,16,00,73.667,73.661,69.55936,15.58830,7.02
145895,2017,18,00,73.750,73.763,69.60088,15.63826,7.03
145895,2017,19,00,73.792,73.795,69.60798,15.60994,7.05
145895,2017,20,00,73.833,73.833,69.62033,15.62671,7.08
145895,2017,21,00,73.875,73.871,69.63586,15.64615,7.04
145895,2017,22,00,73.917,73.904,69.64749,15.63773,7.04
145895,2017,23,00,73.958,73.932,69.65867,15.66204,7.07
145895,2017,00,00,74.000,73.999,69.68338,15.71478,7.06
145895,2017,01,00,74.042,74.055,69.69492,15.70983,7.05
145895,2017,02,00,74.083,74.067,69.70216,15.72233,7.04
145895,2017,03,00,74.125,74.129,69.71701,15.71479,7.05
145895,2017,04,00,74.167,74.136,69.72214,15.75455,7.04
145895,2017,05,00,74.208,74.206,69.74385,15.73851,6.99
145895,2017,06,00,74.250,74.268,69.74677,15.75001,6.94
145895,2017,07,00,74.292,74.278,69.74972,15.74345,7.00
145895,2017,08,00,74.333,74.337,69.75615,15.77981,6.98
145895,2017,09,00,74.375,74.370,69.76342,15.79017,6.90
145895,2017,10,00,74.417,74.420,69.76697,15.80638,6.83
145895,2017,11,00,74.458,74.474,69.77153,15.81242,6.86
145895,2017,12,00,74.500,74.487,69.77331,15.80249,6.99
145895,2017,13,00,74.542,74.541,69.78132,15.83894,6.85
145895,2017,14,00,74.583,74.580,69.78396,15.83625,6.87
145895,2017,15,00,74.625,74.624,69.78072,15.82594,6.92
145895,2017,16,00,74.667,74.681,69.78070,15.83843,6.90
145895,2017,17,00,74.708,74.705,69.77520,15.82663,6.76
145895,2017,18,00,74.750,74.750,69.77763,15.82698,6.58
145895,2017,19,00,74.792,74.784,69.78275,15.84424,6.68
145895,2017,20,00,74.833,74.819,69.78094,15.86081,6.55
145895,2017,21,00,74.875,74.889,69.79067,15.89379,6.52
145895,2017,22,00,74.917,74.910,69.80592,15.89963,6.52
145895,2017,23,00,74.958,74.978,69.79858,16.01333,6.51
145895,2017,00,00,75.000,74.979,69.81666,15.94869,6.50
145895,2017,01,00,75.042,75.047,69.82798,16.03084,6.53
145895,2017,02,00,75.083,75.048,69.82680,16.02922,6.54
145895,2017,03,00,75.125,75.117,69.84616,16.09469,6.53
145895,2017,04,00,75.167,75.183,69.86041,16.11968,6.55
145895,2017,05,00,75.208,75.200,69.85818,16.14661,6.63
145895,2017,06,00,75.250,75.254,69.88520,16.16149,6.66
145895,2017,07,00,75.292,75.270,69.88989,16.21255,6.64
145895,2017,08,00,75.333,75.330,69.91506,16.24831,6.66
145895,2017,09,00,75.375,75.356,69.91847,16.28049,6.68
145895,2017,10,00,75.417,75.412,69.94227,16.34110,6.69
145895,2017,11,00,75.458,75.458,69.97164,16.38213,6.68
145895,2017,12,00,75.500,75.495,69.97755,16.42442,6.76
145895,2017,13,00,75.542,75.548,69.99976,16.46887,6.70
145895,2017,14,00,75.583,75.565,70.00718,16.49982,6.69
145895,2017,16,00,75.667,75.665,70.06040,16.58121,6.70
145895,2017,17,00,75.708,75.701,70.08662,16.61016,6.68
145895,2017,18,00,75.750,75.752,70.11044,16.67646,6.70
145895,2017,19,00,75.792,75.804,70.14472,16.69228,6.70
145895,2017,20,00,75.833,75.821,70.16462,16.66302,6.80
145895,2017,21,00,75.875,75.874,70.19045,16.67222,6.74
145895,2017,22,00,75.917,75.912,70.22453,16.72233,6.73
145895,2017,23,00,75.958,75.956,70.26444,16.72368,6.68
145895,2017,00,00,76.000,76.024,70.29827,16.75607,6.66
145895,2017,01,00,76.042,76.024,70.29827,16.75607,6.64
145895,2017,02,00,76.083,76.095,70.33183,16.78369,6.64
145895,2017,03,00,76.125,76.110,70.34009,16.77506,6.65
145895,2017,04,00,76.167,76.161,70.36136,16.79184,6.66
145895,2017,05,00,76.208,76.192,70.37554,16.77868,6.72
145895,2017,06,00,76.250,76.251,70.39419,16.77795,6.73
145895,2017,07,00,76.292,76.306,70.42150,16.71761,6.70
145895,2017,08,00,76.333,76.333,70.42435,16.73797,6.68
145895,2017,09,00,76.375,76.376,70.43954,16.72093,6.66
145895,2017,10,00,76.417,76.412,70.45761,16.70119,6.64
145895,2017,11,00,76.458,76.458,70.47424,16.69897,6.61
145895,2017,12,00,76.500,76.508,70.48788,16.69055,6.61
145895,2017,13,00,76.542,76.540,70.50501,16.70354,6.60
145895,2017,14,00,76.583,76.582,70.52705,16.71530,6.58
145895,2017,15,00,76.625,76.618,70.53305,16.70628,6.57
145895,2017,16,00,76.667,76.662,70.53902,16.69875,6.56
145895,2017,17,00,76.708,76.717,70.56499,16.69950,6.56
145895,2017,18,00,76.750,76.749,70.56422,16.68737,6.56
145895,2017,19,00,76.792,76.791,70.57280,16.65834,6.55
145895,2017,20,00,76.833,76.827,70.57842,16.66559,6.54
145895,2017,21,00,76.875,76.867,70.59120,16.64946,6.54
145895,2017,22,00,76.917,76.897,70.58988,16.66086,6.56
145895,2017,23,00,76.958,76.935,70.61466,16.66948,6.54
145895,2017,00,00,77.000,77.006,70.62015,16.62107,6.56
145895,2017,01,00,77.042,77.033,70.62776,16.63728,6.56
145895,2017,02,00,77.083,77.074,70.64416,16.64359,6.55
145895,2017,03,00,77.125,77.140,70.65768,16.65143,6.54
145895,2017,04,00,77.167,77.172,70.66979,16.67352,6.53
145895,2017,05,00,77.208,77.210,70.68173,16.66443,6.54
145895,2017,06,00,77.250,77.253,70.69891,16.67726,6.54
145895,2017,07,00,77.292,77.288,70.70472,16.72964,6.53
145895,2017,08,00,77.333,77.326,70.72307,16.67814,6.52
145895,2017,09,00,77.375,77.381,70.73521,16.68660,6.52
145895,2017,10,00,77.417,77.426,70.75820,16.71761,6.52
145895,2017,11,00,77.458,77.464,70.77879,16.70290,6.46
145895,2017,12,00,77.500,77.497,70.79783,16.71230,6.55
145895,2017,13,00,77.542,77.534,70.81546,16.70036,6.55
145895,2017,14,00,77.583,77.534,70.81546,16.70036,6.52
145895,2017,15,00,77.625,77.628,70.87805,16.67923,6.37
145895,2017,16,00,77.667,77.668,70.91179,16.70844,6.37
145895,2017,17,00,77.708,77.708,70.92869,16.63512,6.27
145895,2017,18,00,77.750,77.742,70.93949,16.59502,6.21
145895,2017,19,00,77.792,77.778,70.94828,16.55772,6.19
145895,2017,20,00,77.833,77.811,70.95962,16.49753,6.23
145895,2017,21,00,77.875,77.886,70.96687,16.41250,6.29
145895,2017,22,00,77.917,77.916,70.97621,16.37522,6.27
145895,2017,23,00,77.958,77.982,70.98068,16.33111,6.29
145895,2017,00,00,78.000,77.982,70.98068,16.33111,6.30
145895,2017,01,00,78.042,78.051,70.98901,16.29473,6.30
145895,2017,02,00,78.083,78.096,70.99574,16.25721,6.23
145895,2017,03,00,78.125,78.118,71.00285,16.26674,6.26
145895,2017,04,00,78.167,78.118,71.00285,16.26674,6.32
145895,2017,05,00,78.208,78.188,71.00824,16.22633,6.37
145895,2017,06,00,78.250,78.244,71.01422,16.21147,6.34
145895,2017,07,00,78.292,78.306,71.02236,16.16790,6.19
145895,2017,08,00,78.333,78.342,71.02807,16.14528,6.20
145895,2017,09,00,78.375,78.376,71.03995,16.12076,6.30
145895,2017,10,00,78.417,78.408,71.02809,16.09262,6.28
145895,2017,11,00,78.458,78.456,71.03940,16.03581,5.99
145895,2017,12,00,78.500,78.510,71.05536,16.01279,5.97
145895,2017,13,00,78.542,78.523,71.05159,15.97543,6.03
145895,2017,14,00,78.583,78.584,71.05991,15.92840,6.13
145895,2017,15,00,78.625,78.623,71.07081,15.89638,5.92
145895,2017,16,00,78.667,78.660,71.06488,15.86113,5.80
145895,2017,17,00,78.708,78.690,71.07955,15.85040,5.62
145895,2017,18,00,78.750,78.753,71.06423,15.76990,5.66
145895,2017,19,00,78.792,78.797,71.05570,15.71652,5.52
145895,2017,20,00,78.833,78.830,71.05465,15.67928,5.56
145895,2017,21,00,78.875,78.867,71.05064,15.66947,5.39
