BuoyID,Year,Hour,Min,DOY,Lat,Lon
90095,2017,22,30,105.938,88.97200,19.40510
90095,2017,23,00,105.959,88.97040,19.33530
90095,2017,23,30,105.980,88.96870,19.25700
90095,2017,00,00,106.000,88.96710,19.18220
90095,2017,00,30,106.021,88.96550,19.10640
90095,2017,01,00,106.042,88.96390,19.03380
90095,2017,01,30,106.063,88.96230,18.96080
90095,2017,02,00,106.084,88.96080,18.88930
90095,2017,02,30,106.104,88.95930,18.82050
90095,2017,03,00,106.125,88.95780,18.75620
90095,2017,03,30,106.146,88.95640,18.69550
90095,2017,04,00,106.167,88.95520,18.64000
90095,2017,04,30,106.188,88.95380,18.58220
90095,2017,05,00,106.209,88.95240,18.53230
90095,2017,05,30,106.229,88.95110,18.47790
90095,2017,06,00,106.250,88.94970,18.42640
90095,2017,06,30,106.271,88.94840,18.37660
90095,2017,07,00,106.292,88.94710,18.32090
90095,2017,07,30,106.313,88.94580,18.26970
90095,2017,08,00,106.334,88.94450,18.22020
90095,2017,08,30,106.354,88.94320,18.17020
90095,2017,09,00,106.375,88.94200,18.12260
90095,2017,09,30,106.396,88.94070,18.07260
90095,2017,10,00,106.417,88.93940,18.02690
90095,2017,10,30,106.438,88.93810,17.98560
90095,2017,11,00,106.459,88.93680,17.94310
90095,2017,11,30,106.479,88.93550,17.89410
90095,2017,12,00,106.500,88.93420,17.84540
90095,2017,12,30,106.521,88.93300,17.79580
90095,2017,13,00,106.542,88.93180,17.73910
90095,2017,13,30,106.563,88.93070,17.69180
90095,2017,14,00,106.584,88.92950,17.64660
90095,2017,14,30,106.604,88.92840,17.60490
90095,2017,15,00,106.625,88.92730,17.56460
90095,2017,15,30,106.646,88.92640,17.54030
90095,2017,16,00,106.667,88.92550,17.50010
90095,2017,16,30,106.688,88.92450,17.47790
90095,2017,17,00,106.709,88.92370,17.44960
90095,2017,17,30,106.729,88.92270,17.41990
90095,2017,18,00,106.750,88.92190,17.38990
90095,2017,18,30,106.771,88.92100,17.36330
90095,2017,19,00,106.792,88.92020,17.34010
90095,2017,19,30,106.813,88.91930,17.31680
90095,2017,20,00,106.834,88.91840,17.29430
90095,2017,20,30,106.854,88.91760,17.27140
90095,2017,21,00,106.875,88.91680,17.24720
90095,2017,21,30,106.896,88.91600,17.22420
90095,2017,22,00,106.917,88.91530,17.20120
90095,2017,22,30,106.938,88.91460,17.18800
90095,2017,23,00,106.959,88.91400,17.16570
90095,2017,23,30,106.979,88.91340,17.14540
90095,2017,00,00,107.000,88.91280,17.12620
90095,2017,00,30,107.021,88.91220,17.10920
90095,2017,01,00,107.042,88.91170,17.09430
90095,2017,01,30,107.063,88.91110,17.07990
90095,2017,02,00,107.084,88.91070,17.06680
90095,2017,02,30,107.104,88.91030,17.05620
90095,2017,03,00,107.125,88.91000,17.04620
90095,2017,03,30,107.146,88.90990,17.04500
90095,2017,04,00,107.167,88.90960,17.03750
90095,2017,04,30,107.188,88.90940,17.03460
90095,2017,05,00,107.209,88.90900,17.02670
90095,2017,05,30,107.229,88.90880,17.02550
90095,2017,06,00,107.250,88.90860,17.02370
90095,2017,06,30,107.271,88.90830,17.02100
90095,2017,07,00,107.292,88.90820,17.02120
90095,2017,07,30,107.313,88.90790,17.01630
90095,2017,08,00,107.334,88.90780,17.01230
90095,2017,08,30,107.354,88.90760,17.00690
90095,2017,09,00,107.375,88.90750,17.00590
90095,2017,09,30,107.396,88.90740,17.00110
90095,2017,10,00,107.417,88.90720,16.99280
90095,2017,10,30,107.438,88.90710,16.99040
90095,2017,11,00,107.459,88.90700,16.97830
90095,2017,11,30,107.479,88.90670,16.96520
90095,2017,12,00,107.500,88.90640,16.95030
90095,2017,12,30,107.521,88.90610,16.92630
90095,2017,13,00,107.542,88.90590,16.90220
90095,2017,13,30,107.563,88.90570,16.87680
90095,2017,14,00,107.584,88.90550,16.85430
90095,2017,14,30,107.604,88.90530,16.83780
90095,2017,15,00,107.625,88.90510,16.82410
90095,2017,15,30,107.646,88.90480,16.81240
90095,2017,16,00,107.667,88.90470,16.79540
90095,2017,16,30,107.688,88.90440,16.77810
90095,2017,17,00,107.709,88.90410,16.76300
90095,2017,17,30,107.729,88.90380,16.74830
90095,2017,18,00,107.750,88.90350,16.73370
90095,2017,18,30,107.771,88.90320,16.71940
90095,2017,19,00,107.792,88.90300,16.70440
90095,2017,19,30,107.813,88.90260,16.68350
90095,2017,20,00,107.834,88.90230,16.66380
90095,2017,20,30,107.854,88.90200,16.64140
90095,2017,21,00,107.875,88.90170,16.61630
90095,2017,21,30,107.896,88.90140,16.59200
90095,2017,22,00,107.917,88.90110,16.56380
90095,2017,22,30,107.938,88.90090,16.53370
90095,2017,23,00,107.959,88.90040,16.50230
90095,2017,23,30,107.980,88.90000,16.46170
90095,2017,00,00,108.000,88.89960,16.42340
90095,2017,00,30,108.021,88.89920,16.38150
90095,2017,01,00,108.042,88.89890,16.33880
90095,2017,01,30,108.063,88.89840,16.29280
90095,2017,02,00,108.084,88.89800,16.24620
90095,2017,02,30,108.104,88.89750,16.19710
90095,2017,03,00,108.125,88.89690,16.14580
90095,2017,03,30,108.146,88.89660,16.10580
90095,2017,04,00,108.167,88.89580,16.04120
90095,2017,04,30,108.188,88.89520,15.98710
90095,2017,05,00,108.209,88.89460,15.93420
90095,2017,05,30,108.229,88.89400,15.88320
90095,2017,06,00,108.250,88.89340,15.83310
90095,2017,06,30,108.271,88.89280,15.78400
90095,2017,07,00,108.292,88.89220,15.73620
90095,2017,07,30,108.313,88.89160,15.68760
90095,2017,08,00,108.334,88.89090,15.63850
90095,2017,08,30,108.354,88.89030,15.58830
90095,2017,09,00,108.375,88.88960,15.53750
90095,2017,09,30,108.396,88.88890,15.48360
90095,2017,10,00,108.417,88.88820,15.42960
90095,2017,10,30,108.438,88.88760,15.37440
90095,2017,11,00,108.459,88.88680,15.31310
90095,2017,11,30,108.479,88.88610,15.25230
90095,2017,12,00,108.500,88.88540,15.19220
90095,2017,12,30,108.521,88.88460,15.12230
90095,2017,13,00,108.542,88.88410,15.05220
90095,2017,13,30,108.563,88.88350,14.98330
90095,2017,14,00,108.584,88.88290,14.91560
90095,2017,14,30,108.604,88.88230,14.84880
90095,2017,15,00,108.625,88.88180,14.78340
90095,2017,15,30,108.646,88.88130,14.72310
90095,2017,16,00,108.667,88.88070,14.66170
90095,2017,16,30,108.688,88.88030,14.60410
90095,2017,17,00,108.709,88.87990,14.54060
90095,2017,17,30,108.729,88.87940,14.48560
90095,2017,18,00,108.750,88.87910,14.43280
90095,2017,18,30,108.771,88.87860,14.37960
90095,2017,19,00,108.792,88.87810,14.32900
90095,2017,19,30,108.813,88.87760,14.27800
90095,2017,20,00,108.834,88.87700,14.22740
90095,2017,20,30,108.854,88.87650,14.17550
90095,2017,21,00,108.875,88.87590,14.12290
90095,2017,21,30,108.896,88.87530,14.06720
90095,2017,22,00,108.917,88.87470,14.01150
90095,2017,22,30,108.938,88.87410,13.94800
90095,2017,23,00,108.959,88.87360,13.88160
90095,2017,23,30,108.979,88.87300,13.81550
90095,2017,00,00,109.000,88.87250,13.74770
90095,2017,00,30,109.021,88.87200,13.67920
90095,2017,01,00,109.042,88.87160,13.60910
90095,2017,01,30,109.063,88.87120,13.53970
90095,2017,02,00,109.084,88.87090,13.47040
90095,2017,02,30,109.104,88.87060,13.40230
90095,2017,03,00,109.125,88.87040,13.33730
90095,2017,03,30,109.146,88.87020,13.27410
90095,2017,04,00,109.167,88.87020,13.22350
90095,2017,04,30,109.188,88.87010,13.16450
90095,2017,05,00,109.209,88.87000,13.10910
90095,2017,05,30,109.229,88.86980,13.05630
90095,2017,06,00,109.250,88.86970,13.00640
90095,2017,06,30,109.271,88.86960,12.95300
90095,2017,07,00,109.292,88.86960,12.90870
90095,2017,07,30,109.313,88.86950,12.86600
90095,2017,08,00,109.334,88.86940,12.82420
90095,2017,08,30,109.354,88.86930,12.78310
90095,2017,09,00,109.375,88.86920,12.74200
90095,2017,09,30,109.396,88.86910,12.70130
90095,2017,10,00,109.417,88.86890,12.66190
90095,2017,10,30,109.438,88.86880,12.61780
90095,2017,11,00,109.459,88.86870,12.57490
90095,2017,11,30,109.479,88.86850,12.53150
90095,2017,12,00,109.500,88.86830,12.48580
90095,2017,12,30,109.521,88.86810,12.43830
90095,2017,13,00,109.542,88.86790,12.39350
90095,2017,13,30,109.563,88.86770,12.34550
90095,2017,14,00,109.584,88.86750,12.29870
90095,2017,14,30,109.604,88.86730,12.25500
90095,2017,15,00,109.625,88.86700,12.21280
90095,2017,15,30,109.646,88.86700,12.17950
90095,2017,16,00,109.667,88.86670,12.14250
90095,2017,16,30,109.688,88.86630,12.10340
90095,2017,17,00,109.709,88.86600,12.05840
90095,2017,17,30,109.729,88.86560,12.01690
90095,2017,18,00,109.750,88.86520,11.97470
90095,2017,18,30,109.771,88.86470,11.93520
90095,2017,19,00,109.792,88.86430,11.89110
90095,2017,19,30,109.813,88.86380,11.84720
90095,2017,20,00,109.834,88.86330,11.81810
90095,2017,20,30,109.854,88.86270,11.78800
90095,2017,21,00,109.875,88.86200,11.75720
90095,2017,21,30,109.896,88.86120,11.73430
