BuoyID,Year,Hour,Min,DOY,POS_DOY,Lat,Lon
300234064735080,2017,16,00,79.667,79.667,72.68527,-158.35931
300234064735080,2017,17,00,79.708,79.708,72.68657,-158.34294
300234064735080,2017,18,00,79.750,79.750,72.68782,-158.32638
300234064735080,2017,19,00,79.792,79.792,72.68905,-158.31003
300234064735080,2017,20,00,79.833,79.833,72.69014,-158.29366
300234064735080,2017,21,00,79.875,79.875,72.69106,-158.27725
300234064735080,2017,22,00,79.917,79.917,72.69163,-158.26155
300234064735080,2017,23,00,79.958,79.958,72.69162,-158.24661
300234064735080,2017,00,00,80.000,80.000,72.69138,-158.23241
300234064735080,2017,01,00,80.042,80.042,72.69102,-158.22000
300234064735080,2017,02,00,80.083,80.083,72.69094,-158.21054
300234064735080,2017,03,00,80.125,80.125,72.69080,-158.20210
300234064735080,2017,04,00,80.167,80.167,72.69072,-158.19504
300234064735080,2017,05,00,80.208,80.208,72.69074,-158.19008
300234064735080,2017,06,00,80.250,80.250,72.69101,-158.18681
300234064735080,2017,07,00,80.292,80.292,72.69124,-158.18358
300234064735080,2017,08,00,80.333,80.333,72.69167,-158.17969
300234064735080,2017,09,00,80.375,80.375,72.69235,-158.17645
300234064735080,2017,10,00,80.417,80.417,72.69299,-158.17246
300234064735080,2017,11,00,80.458,80.458,72.69359,-158.16914
300234064735080,2017,12,00,80.500,80.500,72.69424,-158.16432
300234064735080,2017,13,00,80.542,80.542,72.69487,-158.15944
300234064735080,2017,14,00,80.583,80.583,72.69526,-158.15498
300234064735080,2017,15,00,80.625,80.625,72.69566,-158.15158
300234064735080,2017,16,00,80.667,80.667,72.69602,-158.14865
300234064735080,2017,17,00,80.708,80.708,72.69656,-158.14577
300234064735080,2017,18,00,80.750,80.750,72.69722,-158.14259
300234064735080,2017,19,00,80.792,80.792,72.69779,-158.13921
300234064735080,2017,20,00,80.833,80.833,72.69863,-158.13519
300234064735080,2017,21,00,80.875,80.875,72.69988,-158.12997
300234064735080,2017,22,00,80.917,80.917,72.70091,-158.12380
300234064735080,2017,23,00,80.958,80.958,72.70219,-158.11728
300234064735080,2017,00,00,81.000,81.000,72.70348,-158.11038
300234064735080,2017,01,00,81.042,81.042,72.70467,-158.10371
300234064735080,2017,02,00,81.083,81.083,72.70562,-158.09799
300234064735080,2017,03,00,81.125,81.125,72.70654,-158.09276
300234064735080,2017,04,00,81.167,81.167,72.70732,-158.08881
300234064735080,2017,05,00,81.208,81.208,72.70802,-158.08562
300234064735080,2017,06,00,81.250,81.250,72.70872,-158.08252
300234064735080,2017,07,00,81.292,81.292,72.70966,-158.07970
300234064735080,2017,08,00,81.333,81.333,72.71071,-158.07649
300234064735080,2017,09,00,81.375,81.375,72.71188,-158.07292
300234064735080,2017,10,00,81.417,81.417,72.71320,-158.06801
300234064735080,2017,11,00,81.458,81.458,72.71439,-158.06297
300234064735080,2017,12,00,81.500,81.500,72.71561,-158.05785
300234064735080,2017,13,00,81.542,81.542,72.71665,-158.05295
300234064735080,2017,14,00,81.583,81.583,72.71784,-158.04889
300234064735080,2017,15,00,81.625,81.625,72.71884,-158.04541
300234064735080,2017,16,00,81.667,81.667,72.71974,-158.04234
300234064735080,2017,17,00,81.708,81.708,72.72070,-158.03946
300234064735080,2017,18,00,81.750,81.750,72.72167,-158.03626
300234064735080,2017,19,00,81.792,81.792,72.72256,-158.03262
300234064735080,2017,20,00,81.833,81.833,72.72353,-158.02837
300234064735080,2017,21,00,81.875,81.875,72.72453,-158.02255
300234064735080,2017,22,00,81.917,81.917,72.72566,-158.01564
300234064735080,2017,23,00,81.958,81.958,72.72668,-158.00783
300234064735080,2017,00,00,82.000,82.000,72.72764,-157.99930
300234064735080,2017,01,00,82.042,82.042,72.72851,-157.99036
300234064735080,2017,02,00,82.083,82.083,72.72913,-157.98189
300234064735080,2017,03,00,82.125,82.125,72.72974,-157.97391
300234064735080,2017,04,00,82.167,82.167,72.73042,-157.96710
300234064735080,2017,05,00,82.208,82.208,72.73107,-157.96194
300234064735080,2017,06,00,82.250,82.250,72.73178,-157.95744
300234064735080,2017,07,00,82.292,82.292,72.73274,-157.95244
300234064735080,2017,08,00,82.333,82.333,72.73377,-157.94691
300234064735080,2017,09,00,82.375,82.375,72.73471,-157.94093
300234064735080,2017,10,00,82.417,82.417,72.73565,-157.93384
300234064735080,2017,11,00,82.458,82.458,72.73646,-157.92656
300234064735080,2017,12,00,82.500,82.500,72.73735,-157.91921
300234064735080,2017,13,00,82.542,82.542,72.73817,-157.91252
300234064735080,2017,14,00,82.583,82.583,72.73925,-157.90662
300234064735080,2017,15,00,82.625,82.625,72.73988,-157.89996
300234064735080,2017,16,00,82.667,82.667,72.74055,-157.89412
300234064735080,2017,17,00,82.708,82.708,72.74129,-157.88921
300234064735080,2017,18,00,82.750,82.750,72.74197,-157.88559
300234064735080,2017,19,00,82.792,82.792,72.74248,-157.88119
300234064735080,2017,20,00,82.833,82.833,72.74284,-157.87561
300234064735080,2017,21,00,82.875,82.875,72.74309,-157.86989
300234064735080,2017,22,00,82.917,82.917,72.74332,-157.86432
300234064735080,2017,23,00,82.958,82.958,72.74339,-157.85834
300234064735080,2017,00,00,83.000,83.000,72.74310,-157.85054
300234064735080,2017,01,00,83.042,83.042,72.74262,-157.84224
300234064735080,2017,02,00,83.083,83.083,72.74216,-157.83600
300234064735080,2017,03,00,83.125,83.125,72.74150,-157.83041
300234064735080,2017,04,00,83.167,83.167,72.74060,-157.82402
300234064735080,2017,05,00,83.208,83.208,72.73998,-157.81819
300234064735080,2017,06,00,83.250,83.250,72.73943,-157.81175
300234064735080,2017,07,00,83.292,83.292,72.73937,-157.80649
300234064735080,2017,08,00,83.333,83.333,72.73956,-157.80226
300234064735080,2017,09,00,83.375,83.375,72.73972,-157.79874
300234064735080,2017,10,00,83.417,83.417,72.74010,-157.79488
300234064735080,2017,11,00,83.458,83.458,72.74059,-157.78940
300234064735080,2017,12,00,83.500,83.500,72.74140,-157.78186
300234064735080,2017,13,00,83.542,83.542,72.74235,-157.77637
300234064735080,2017,14,00,83.583,83.583,72.74343,-157.76857
300234064735080,2017,15,00,83.625,83.625,72.74483,-157.76112
300234064735080,2017,16,00,83.667,83.667,72.74625,-157.75166
300234064735080,2017,17,00,83.708,83.708,72.74787,-157.74196
300234064735080,2017,18,00,83.750,83.750,72.74972,-157.72885
300234064735080,2017,19,00,83.792,83.792,72.75146,-157.71381
300234064735080,2017,20,00,83.833,83.833,72.75327,-157.69856
300234064735080,2017,21,00,83.875,83.875,72.75529,-157.68375
300234064735080,2017,22,00,83.917,83.917,72.75721,-157.66921
300234064735080,2017,23,00,83.958,83.958,72.75899,-157.65462
300234064735080,2017,00,00,84.000,84.000,72.76038,-157.63917
300234064735080,2017,01,00,84.042,84.042,72.76168,-157.62407
300234064735080,2017,02,00,84.083,84.083,72.76274,-157.60948
300234064735080,2017,03,00,84.125,84.125,72.76379,-157.59546
300234064735080,2017,04,00,84.167,84.167,72.76469,-157.58270
300234064735080,2017,05,00,84.208,84.208,72.76558,-157.57219
300234064735080,2017,06,00,84.250,84.250,72.76654,-157.56354
300234064735080,2017,07,00,84.292,84.292,72.76765,-157.55678
300234064735080,2017,08,00,84.333,84.333,72.76872,-157.55066
300234064735080,2017,09,00,84.375,84.375,72.76985,-157.54494
300234064735080,2017,10,00,84.417,84.417,72.77094,-157.53862
300234064735080,2017,11,00,84.458,84.458,72.77203,-157.53262
300234064735080,2017,12,00,84.500,84.500,72.77298,-157.52678
300234064735080,2017,13,00,84.542,84.542,72.77341,-157.52151
300234064735080,2017,14,00,84.583,84.583,72.77364,-157.51729
300234064735080,2017,15,00,84.625,84.625,72.77381,-157.51364
300234064735080,2017,16,00,84.667,84.667,72.77389,-157.51009
300234064735080,2017,17,00,84.708,84.708,72.77389,-157.50687
300234064735080,2017,18,00,84.750,84.750,72.77378,-157.50297
300234064735080,2017,19,00,84.792,84.792,72.77357,-157.49918
300234064735080,2017,20,00,84.833,84.833,72.77300,-157.49478
300234064735080,2017,21,00,84.875,84.875,72.77279,-157.49274
300234064735080,2017,22,00,84.917,84.917,72.77205,-157.48767
300234064735080,2017,23,00,84.958,84.958,72.77132,-157.48151
300234064735080,2017,00,00,85.000,85.000,72.77039,-157.47482
300234064735080,2017,01,00,85.042,85.042,72.76928,-157.46562
300234064735080,2017,02,00,85.083,85.083,72.76777,-157.45660
300234064735080,2017,03,00,85.125,85.125,72.76636,-157.44978
300234064735080,2017,04,00,85.167,85.167,72.76556,-157.44524
