BuoyID,Year,Hour,Min,DOY,POS_DOY,Lat,Lon,BP,Ts
64506420,2017,12,00,7.500,7.500,63.73820,5.33240,1022.10,8.23
64506420,2017,13,00,7.542,7.542,63.74880,5.32240,1021.70,8.22
64506420,2017,14,00,7.583,7.583,63.75760,5.31460,1021.80,8.22
64506420,2017,15,00,7.625,7.625,63.76560,5.30860,1021.80,8.23
64506420,2017,16,00,7.667,7.667,63.77280,5.30320,1021.80,8.23
64506420,2017,17,00,7.708,7.708,63.77880,5.29480,1021.30,8.23
64506420,2017,18,00,7.750,7.750,63.78440,5.28260,1020.70,8.24
64506420,2017,19,00,7.792,7.792,63.78980,5.26960,1019.80,8.24
64506420,2017,20,00,7.833,7.833,63.79580,5.25460,1019.10,8.24
64506420,2017,21,00,7.875,7.875,63.80200,5.24120,1017.90,8.24
64506420,2017,22,00,7.917,7.917,63.80700,5.22820,1017.10,8.25
64506420,2017,23,00,7.958,7.958,63.81140,5.21620,1015.80,8.26
64506420,2017,00,00,8.000,8.000,63.81720,5.20520,1014.50,8.27
64506420,2017,01,00,8.042,8.042,63.82160,5.19660,1013.00,8.28
64506420,2017,02,00,8.083,8.083,63.82540,5.18940,1012.10,8.28
64506420,2017,03,00,8.125,8.125,63.82840,5.17980,1010.90,8.28
64506420,2017,04,00,8.167,8.167,63.83020,5.17660,1009.60,8.28
64506420,2017,05,00,8.208,8.208,63.82980,5.17260,1009.00,8.29
64506420,2017,06,00,8.250,8.250,63.82940,5.16420,1008.80,8.33
64506420,2017,07,00,8.292,8.292,63.82820,5.15560,1009.40,8.39
64506420,2017,08,00,8.333,8.333,63.82380,5.14600,1011.00,8.41
64506420,2017,09,00,8.375,8.375,63.81780,5.13460,1012.50,8.41
64506420,2017,10,00,8.417,8.374,63.81780,5.13460,1013.60,8.39
64506420,2017,11,00,8.458,8.458,63.80240,5.10360,1014.40,8.37
64506420,2017,12,00,8.500,8.500,63.79640,5.09060,1014.70,8.35
64506420,2017,13,00,8.542,8.542,63.79100,5.07980,1015.30,8.33
64506420,2017,14,00,8.583,8.583,63.78560,5.07360,1015.90,8.32
64506420,2017,15,00,8.625,8.625,63.78060,5.07060,1016.40,8.32
64506420,2017,16,00,8.667,8.667,63.77520,5.07180,1016.70,8.31
64506420,2017,17,00,8.708,8.708,63.76880,5.07560,1016.50,8.31
64506420,2017,18,00,8.750,8.750,63.76100,5.08180,1016.30,8.31
64506420,2017,19,00,8.792,8.792,63.75280,5.08880,1015.70,8.30
64506420,2017,20,00,8.833,8.833,63.74400,5.09540,1015.30,8.29
64506420,2017,21,00,8.875,8.875,63.73300,5.09880,1015.10,8.29
64506420,2017,22,00,8.917,8.917,63.72200,5.10140,1014.70,8.29
64506420,2017,23,00,8.958,8.958,63.71040,5.10420,1013.80,8.28
64506420,2017,00,00,9.000,9.000,63.69960,5.10620,1012.50,8.28
64506420,2017,01,00,9.042,9.042,63.68740,5.10880,1011.70,8.28
64506420,2017,02,00,9.083,9.083,63.67620,5.11060,1010.60,8.28
64506420,2017,03,00,9.125,9.125,63.66560,5.11500,1008.90,8.27
64506420,2017,04,00,9.167,9.167,63.65460,5.12420,1007.00,8.28
64506420,2017,05,00,9.208,9.208,63.64360,5.14120,1005.50,8.28
64506420,2017,06,00,9.250,9.250,63.63200,5.16300,1004.00,8.33
64506420,2017,07,00,9.292,9.292,63.61860,5.18980,1003.10,8.33
64506420,2017,09,00,9.375,9.375,63.59000,5.25020,1001.70,8.23
64506420,2017,10,00,9.417,9.417,63.57840,5.28340,1000.70,8.18
64506420,2017,11,00,9.458,9.458,63.57140,5.31340,999.70,8.10
64506420,2017,12,00,9.500,9.500,63.56860,5.34480,998.80,8.04
64506420,2017,13,00,9.542,9.542,63.57060,5.37700,997.70,7.96
64506420,2017,14,00,9.583,9.583,63.57580,5.40700,996.80,7.85
