BuoyID,Year,Hour,Min,DOY,POS_DOY,Lat,Lon,BP,Ts
64503600,2017,12,00,7.500,7.500,63.06560,-5.05900,1018.60,6.19
64503600,2017,13,00,7.542,7.542,63.06540,-5.03580,1017.80,6.13
64503600,2017,14,00,7.583,7.583,63.06460,-5.01120,1017.20,6.11
64503600,2017,15,00,7.625,7.625,63.06540,-4.98600,1016.20,6.10
64503600,2017,16,00,7.667,7.667,63.06920,-4.96320,1015.60,6.08
64503600,2017,17,00,7.708,7.708,63.07440,-4.93780,1014.80,5.96
64503600,2017,18,00,7.750,7.750,63.08080,-4.91500,1013.80,6.08
64503600,2017,19,00,7.792,7.792,63.08720,-4.89520,1013.30,6.06
64503600,2017,20,00,7.833,7.833,63.09520,-4.87660,1012.40,6.05
64503600,2017,21,00,7.875,7.875,63.10260,-4.85800,1011.40,6.04
64503600,2017,22,00,7.917,7.917,63.10880,-4.83820,1010.60,6.07
64503600,2017,23,00,7.958,7.958,63.11400,-4.81520,1009.80,6.08
64503600,2017,00,00,8.000,8.000,63.11840,-4.79240,1009.90,6.06
64503600,2017,01,00,8.042,8.042,63.12260,-4.76600,1009.50,6.02
64503600,2017,02,00,8.083,8.083,63.12600,-4.73520,1009.60,6.04
64503600,2017,03,00,8.125,8.125,63.12800,-4.70600,1010.80,5.92
64503600,2017,04,00,8.167,8.167,63.12840,-4.67960,1011.60,5.93
64503600,2017,05,00,8.208,8.208,63.12720,-4.65800,1012.30,5.93
64503600,2017,06,00,8.250,8.250,63.12780,-4.63680,1013.30,6.00
64503600,2017,07,00,8.292,8.292,63.12920,-4.62020,1014.40,5.96
64503600,2017,08,00,8.333,8.333,63.13140,-4.60600,1015.30,5.91
64503600,2017,09,00,8.375,8.375,63.13560,-4.59340,1016.10,6.03
64503600,2017,10,00,8.417,8.417,63.14060,-4.57620,1016.70,6.01
64503600,2017,11,00,8.458,8.458,63.14660,-4.55680,1017.00,5.95
64503600,2017,12,00,8.500,8.500,63.15340,-4.53480,1016.70,6.03
64503600,2017,13,00,8.542,8.542,63.16180,-4.50760,1017.00,5.95
64503600,2017,14,00,8.583,8.583,63.17040,-4.47280,1016.80,6.04
64503600,2017,15,00,8.625,8.625,63.17800,-4.43420,1016.00,6.02
64503600,2017,16,00,8.667,8.667,63.18520,-4.39480,1015.40,6.02
64503600,2017,17,00,8.708,8.708,63.19220,-4.35720,1015.00,5.95
64503600,2017,18,00,8.750,8.750,63.19820,-4.32440,1013.90,6.00
64503600,2017,19,00,8.792,8.792,63.20440,-4.29580,1012.70,6.03
64503600,2017,20,00,8.833,8.833,63.21020,-4.27000,1011.20,6.02
64503600,2017,21,00,8.875,8.875,63.21620,-4.24420,1009.70,5.89
64503600,2017,22,00,8.917,8.917,63.22280,-4.21880,1007.80,6.00
64503600,2017,23,00,8.958,8.958,63.22780,-4.18800,1005.40,6.06
64503600,2017,00,00,9.000,9.000,63.23000,-4.15260,1003.00,6.03
64503600,2017,01,00,9.042,9.042,63.23120,-4.11680,1000.70,6.05
64503600,2017,02,00,9.083,9.083,63.23160,-4.07740,998.90,6.05
64503600,2017,03,00,9.125,9.125,63.23360,-4.03200,997.20,6.00
64503600,2017,04,00,9.167,9.167,63.23940,-3.98860,995.60,5.96
64503600,2017,05,00,9.208,9.208,63.24640,-3.95660,994.30,5.80
64503600,2017,06,00,9.250,9.250,63.25380,-3.93340,992.80,5.58
64503600,2017,07,00,9.292,9.292,63.26040,-3.91540,991.10,5.68
64503600,2017,08,00,9.333,9.333,63.26780,-3.90360,990.00,5.62
64503600,2017,09,00,9.375,9.375,63.27580,-3.89360,989.90,5.55
64503600,2017,10,00,9.417,9.417,63.28320,-3.88600,990.00,5.60
64503600,2017,11,00,9.458,9.458,63.28780,-3.88160,989.80,5.58
64503600,2017,12,00,9.500,9.500,63.29120,-3.88240,989.40,5.67
64503600,2017,13,00,9.542,9.542,63.29280,-3.88880,988.80,5.88
64503600,2017,14,00,9.583,9.583,63.29380,-3.90140,988.40,5.81
64503600,2017,15,00,9.625,9.625,63.29580,-3.91380,988.20,5.77
64503600,2017,16,00,9.667,9.667,63.29920,-3.92800,987.80,6.05
64503600,2017,17,00,9.708,9.708,63.30420,-3.94080,987.70,6.35
64503600,2017,18,00,9.750,9.750,63.31100,-3.95320,987.70,6.49
64503600,2017,19,00,9.792,9.792,63.31960,-3.96220,987.90,6.48
64503600,2017,21,00,9.875,9.875,63.33560,-3.97940,988.30,6.54
64503600,2017,01,00,10.042,10.042,63.34820,-4.05080,989.60,6.59
64503600,2017,02,00,10.083,10.083,63.34740,-4.07960,989.80,6.61
64503600,2017,03,00,10.125,10.125,63.34880,-4.10840,989.70,6.68
64503600,2017,04,00,10.167,10.167,63.35260,-4.13320,989.40,6.69
64503600,2017,05,00,10.208,10.208,63.35660,-4.15360,988.80,6.69
64503600,2017,06,00,10.250,10.250,63.36200,-4.17040,988.50,6.67
64503600,2017,07,00,10.292,10.292,63.36960,-4.18400,987.80,6.64
64503600,2017,08,00,10.333,10.333,63.37780,-4.19420,987.00,6.62
64503600,2017,09,00,10.375,10.375,63.38700,-4.20460,986.50,6.62
64503600,2017,10,00,10.417,10.417,63.39600,-4.21680,986.00,6.65
64503600,2017,11,00,10.458,10.458,63.40300,-4.23180,985.70,6.61
64503600,2017,12,00,10.500,10.500,63.40860,-4.24760,984.80,6.63
64503600,2017,13,00,10.542,10.542,63.41340,-4.26460,984.30,6.69
64503600,2017,15,00,10.625,10.625,63.42420,-4.30160,983.90,6.62
64503600,2017,16,00,10.667,10.667,63.43000,-4.31540,983.50,6.59
64503600,2017,17,00,10.708,10.708,63.43580,-4.33080,982.70,6.56
64503600,2017,18,00,10.750,10.750,63.44200,-4.34980,981.60,6.51
64503600,2017,19,00,10.792,10.792,63.45000,-4.37060,980.90,6.63
64503600,2017,20,00,10.833,10.833,63.45860,-4.39280,979.50,6.68
64503600,2017,21,00,10.875,10.875,63.46740,-4.41400,977.80,6.69
